date,time,luminosity,color
2020-06-16,12:29:34,99,#ff9574
2020-06-16,12:29:44,90,#ff7645
2020-06-16,12:29:54,93,#ff7932
2020-06-16,12:30:04,87,#ff0097
2020-06-16,12:30:14,104,#ff2188
2020-06-16,12:30:24,90,#ff1304
2020-06-16,12:30:34,87,#ff4336
2020-06-16,12:30:44,104,#ff1601
2020-06-16,12:30:54,90,#ff1784
2020-06-16,12:31:04,86,#ff2533
2020-06-16,12:31:14,106,#ff2996
2020-06-16,12:31:24,102,#ff7471
2020-06-16,12:31:34,93,#ff0217
2020-06-16,12:31:44,107,#ff4804
2020-06-16,12:31:54,80,#ff9856
2020-06-16,12:32:04,83,#ff3806
2020-06-16,12:32:14,86,#ff1079
2020-06-16,12:32:24,93,#ff4760
2020-06-16,12:32:34,87,#ff2436
2020-06-16,12:32:44,89,#ff1594
2020-06-16,12:32:54,96,#ff4228
2020-06-16,12:33:04,104,#ff8963
2020-06-16,12:33:14,90,#ff2695
2020-06-16,12:33:24,91,#ff8864
2020-06-16,12:33:34,88,#ff5792
2020-06-16,12:33:44,85,#ff2026
2020-06-16,12:33:54,84,#ff2208
